common_links,true_positive,false_positive
1,0.0,100.0
2,2.7027027027027026,97.29729729729729
3,6.451612903225806,93.54838709677419
4,13.924050632911392,86.07594936708861
5,32.5,67.5
6,52.17391304347826,47.82608695652174
7,65.5,34.5
8,78.94736842105263,21.05263157894737
9,86.95652173913044,13.043478260869565
10,90.5,9.5
11,96.0,4.0
12,100,0.0
13,100,0.0
14,100.0,0.0
15,100.0,0.0
16,100.0,0.0
17,100.0,0.0
18,100.0,0.0
19,100.0,0.0
20,100.0,0.0
21,100.0,0.0
22,100.0,0.0
23,100.0,0.0
24,100.0,0.0
25,100.0,0.0
26,100.0,0.0
27,100.0,0.0
28,100.0,0.0
29,100.0,0.0
30,100.0,0.0
